ville,quartier,type_bien,surface_habitable,nb_pieces,nb_chambres,etage,ascenseur,etat,annee_construction,balcon,terrasse,parking,chauffage,classe_energie,distance_centre,distance_transport,score_commerces,prix,annee_vente,mois_vente
2,12,4,31.63,1,0,1,0,1,2015,0,1,2,0,3,5.12,182.69,1,76720.83,2021,1
8,11,2,141.98,4,4,4,1,1,1984,0,0,1,2,2,9.62,252.94,10,503371.87,2022,10
8,7,0,72.38,3,3,3,1,0,1923,0,0,0,0,2,0.96,10.46,10,295512.69,2023,4
4,11,0,74.67,3,1,10,1,3,1976,0,0,0,3,3,5.09,368.58,5,263677.59,2022,12
14,7,4,35.24,1,0,2,0,3,1953,0,0,2,2,2,10.13,667.14,4,107574.64,2020,2
8,11,2,133.66,7,7,1,0,0,2015,0,0,1,3,2,2.91,325.96,8,580280.61,2023,6
3,7,4,19.84,1,3,6,1,0,1961,1,0,0,3,4,1.92,103.54,4,51581.21,2021,7
0,17,0,65.05,3,2,0,0,0,1988,1,0,0,2,5,2.41,475.45,7,158297.03,2020,6
5,15,2,83.88,4,3,7,1,0,1983,0,1,0,0,3,3.08,165.39,4,740225.9,2021,4
4,17,0,68.8,2,2,0,0,4,1943,1,0,0,3,7,1.57,187.22,5,126872.07,2020,1
11,3,3,253.26,6,5,0,0,0,1973,0,0,2,2,2,6.27,305.75,8,555651.39,2020,9
5,13,4,39.81,1,1,3,1,0,1961,1,1,0,1,3,6.49,385.23,5,216139.6,2023,11
4,17,0,76.49,4,3,5,1,0,1957,1,0,0,2,2,5.19,112.49,8,280650.38,2021,5
2,11,4,57.61,1,0,2,0,0,1970,0,0,0,3,3,5.21,283.14,3,142629.5,2021,12
14,12,3,187.94,7,5,0,0,2,1919,0,0,0,3,4,4.19,252.94,4,644647.79,2020,11
2,7,2,218.36,5,3,6,1,0,1970,1,0,1,2,2,7.34,176.7,2,739196.4,2023,4
0,7,0,79.64,4,4,3,0,3,1854,0,0,0,0,4,10.36,846.22,10,162783.14,2023,3
0,7,0,64.97,3,2,2,0,2,1941,1,0,0,3,7,5.78,865.65,7,196443.62,2020,12
7,3,4,22.2,1,0,2,0,3,1981,1,0,1,3,3,8.97,284.62,5,88404.91,2021,3
2,7,0,92.29,4,3,0,0,2,1904,0,0,1,2,4,6.91,121.26,4,274852.62,2023,8
13,7,0,68.61,3,2,4,1,3,1943,1,0,2,3,7,3.48,263.38,2,262804.75,2023,7
11,11,1,121.87,4,2,2,0,1,2009,1,0,0,3,4,4.3,112.39,5,252132.18,2021,9
1,17,0,87.86,4,3,2,0,1,1970,1,0,0,2,3,12.84,118.37,8,262957.12,2023,5
2,7,1,96.78,4,3,8,1,1,1899,1,0,1,2,2,2.64,252.94,5,290943.55,2022,12
7,12,0,83.06,4,3,1,0,1,2023,0,0,2,3,3,8.31,816.84,4,299767.48,2023,2
9,7,0,72.71,4,3,6,1,0,2017,0,0,0,2,4,24.3,255.01,1,229164.46,2020,5
3,3,4,20.69,1,0,8,1,3,1919,1,0,1,2,4,3.15,309.6,8,52303.37,2021,7
5,15,3,198.79,6,5,0,0,0,1970,0,0,0,0,4,5.1,378.64,1,886906.18,2022,1
0,3,3,205.26,5,3,0,0,3,1974,0,0,1,3,2,3.57,703.43,10,560378.46,2020,3
9,7,3,239.81,4,2,0,0,2,2015,1,0,1,3,4,7.76,50.41,5,1187337.98,2023,11
7,11,4,22.36,1,0,6,1,1,2020,0,0,2,0,3,8.71,70.68,5,64671.1,2022,10
4,12,0,139.38,6,6,0,0,4,1970,1,1,0,2,3,5.5,153.64,9,324512.83,2021,9
1,7,0,62.35,2,2,6,1,3,1946,1,1,0,1,5,1.93,995.74,9,315273.37,2021,3
11,11,0,142.47,7,6,1,0,1,2015,1,0,0,2,7,5.23,125.47,4,273565.28,2020,2
11,11,3,112.49,7,5,0,0,1,1977,0,1,1,3,4,5.78,698.23,10,226616.76,2022,3
11,7,0,77.4,3,1,2,0,1,1953,0,0,2,4,3,14.16,49.54,8,124054.51,2020,10
3,7,0,85.41,4,3,10,1,1,1966,1,0,0,2,3,1.83,410.72,8,193802.78,2023,1
1,11,3,168.95,4,4,0,0,3,1961,0,0,0,2,4,3.16,252.94,5,603542.09,2023,12
3,11,0,56.27,3,2,2,0,0,2016,0,0,1,3,0,5.49,294.09,7,115984.36,2021,5
0,11,0,67.23,2,2,4,0,1,1970,0,0,1,2,3,11.0,634.68,7,122446.94,2020,4
3,7,3,188.83,4,3,0,0,0,1872,1,0,2,0,2,4.47,201.45,5,312759.5,2020,8
10,10,0,146.76,6,5,2,0,1,1856,0,0,0,4,2,8.14,160.27,2,1054674.48,2021,9
1,3,2,91.45,4,3,2,0,1,1898,1,0,0,0,4,8.65,57.97,7,407396.63,2022,5
13,7,3,151.73,5,3,0,0,0,2030,1,1,1,2,3,12.15,505.04,8,330709.29,2023,4
1,3,0,53.56,2,1,3,1,0,2002,1,0,0,1,0,5.62,332.92,9,294574.49,2022,1
7,17,3,159.58,5,5,0,0,1,1971,1,0,0,0,6,10.92,232.0,4,358729.18,2022,8
10,1,0,74.94,4,3,8,1,3,1973,0,0,1,0,1,9.07,609.83,5,765388.42,2021,4
11,17,4,43.08,1,0,1,0,3,1938,0,1,0,3,3,2.84,505.05,9,131056.78,2023,11
7,11,1,128.21,4,3,1,0,2,1966,0,0,0,3,3,8.23,16.69,2,480161.51,2021,2
7,11,3,249.94,4,3,0,0,0,1941,0,0,0,2,3,9.09,397.88,8,642283.15,2022,8
0,12,3,173.47,6,5,0,1,1,1943,1,0,1,3,3,5.55,252.94,10,282948.7,2021,1
12,11,0,38.96,2,3,0,0,3,1960,0,0,1,0,2,4.83,367.98,1,157666.41,2020,8
6,2,0,85.57,3,3,1,0,1,1883,0,0,0,2,3,8.17,291.0,5,286633.42,2023,12
10,10,2,293.42,4,2,1,0,1,2018,0,1,0,0,5,9.12,129.78,1,3521088.77,2021,10
7,7,0,101.06,5,4,0,0,3,2013,0,0,2,2,2,11.25,105.85,10,364669.28,2023,3
6,14,0,75.9,3,2,3,0,2,2000,0,0,0,2,1,3.61,149.81,4,369244.5,2020,2
6,6,0,64.09,3,1,0,0,4,1976,0,0,0,3,3,2.98,222.85,8,171776.96,2021,4
10,10,4,21.89,1,0,3,1,1,2002,1,1,1,4,4,6.82,602.74,5,186493.85,2020,11
12,17,0,66.47,3,3,1,0,0,2020,1,0,0,0,7,4.64,184.27,2,210779.57,2021,5
9,17,2,115.69,4,3,7,1,2,1944,0,1,1,2,4,2.99,225.64,10,1030439.96,2020,2
4,11,0,132.28,5,4,2,0,0,1956,1,0,1,2,7,4.79,231.03,8,397251.93,2022,2
13,17,0,73.17,4,3,0,0,3,1970,0,0,0,2,1,4.33,420.57,4,235524.56,2023,6
4,17,4,33.26,1,0,6,1,2,1983,0,0,0,0,2,2.3,394.97,5,131014.43,2023,7
1,12,0,74.32,3,2,2,0,0,2003,1,0,0,2,1,8.26,128.96,10,305078.5,2023,3
11,7,3,184.49,5,3,0,0,3,1953,1,0,0,2,3,1.98,40.13,3,411661.69,2022,5
13,12,0,80.22,3,2,6,1,0,1948,0,0,2,4,3,7.09,334.64,2,304980.85,2023,1
1,3,0,76.28,3,3,2,0,0,1978,1,0,0,3,2,2.16,316.78,9,425734.41,2020,8
7,12,0,63.54,2,0,3,1,0,1921,1,0,0,4,1,4.82,286.32,8,233259.12,2023,12
11,11,2,139.82,5,5,2,0,0,1877,1,0,0,2,3,9.97,744.27,3,351572.12,2022,10
5,5,3,135.52,4,4,0,0,0,1939,0,1,0,0,6,3.24,87.01,2,513501.74,2022,6
10,10,4,36.32,1,0,3,1,0,1924,0,0,2,2,2,3.14,303.03,1,395444.1,2022,11
13,3,0,93.87,3,2,2,0,0,1854,0,0,0,0,2,5.53,244.73,8,310278.14,2021,7
13,7,3,113.8,4,3,0,0,1,1997,0,0,0,3,7,1.34,252.94,4,243068.09,2020,11
2,17,3,132.86,6,5,0,0,0,1970,0,0,0,2,3,7.73,107.47,10,242868.12,2022,5
7,12,1,79.28,4,4,3,1,0,1986,0,0,1,2,3,5.8,290.2,5,301096.22,2020,12
9,11,4,47.14,1,0,4,1,1,1925,0,0,0,4,7,6.56,182.77,1,181053.09,2020,10
6,19,4,26.21,1,0,2,0,3,1941,0,0,0,0,5,5.46,355.7,6,120057.16,2022,8
11,17,0,108.25,4,2,4,0,1,1970,0,0,1,0,1,3.4,79.73,5,275695.25,2023,10
7,12,3,161.06,7,3,0,0,0,2023,0,1,0,2,5,11.74,98.21,9,479792.01,2023,1
8,17,3,137.82,6,5,0,0,3,1909,0,0,1,0,3,2.18,252.94,2,480283.76,2022,6
12,12,2,99.36,4,3,5,1,0,1905,1,0,0,1,1,3.62,447.33,3,424336.36,2020,2
6,8,0,79.79,3,3,5,1,1,1980,0,0,1,2,3,11.75,89.82,10,241427.77,2020,4
10,16,0,93.56,3,2,3,1,1,1951,1,0,0,3,4,7.45,297.26,3,967031.47,2020,2
6,2,0,76.99,4,3,0,0,1,2010,0,1,1,3,2,2.25,143.8,7,307105.51,2022,7
9,17,0,99.93,3,3,5,1,4,2004,0,0,0,2,7,2.38,416.78,3,373971.28,2020,3
0,7,0,72.71,4,3,7,1,1,2008,1,0,1,4,0,8.55,1099.37,6,201354.99,2021,8
2,3,2,115.77,5,4,4,1,0,1992,0,1,1,2,2,1.93,252.94,8,546086.4,2020,5
6,6,3,145.43,7,3,0,0,1,1917,0,0,0,0,5,3.37,236.22,10,376746.65,2021,5
10,16,2,95.78,3,2,3,1,2,1894,0,0,0,0,4,12.75,139.96,9,1214142.57,2021,9
9,7,4,39.87,1,0,3,1,0,1895,0,1,0,2,2,10.67,353.52,5,197786.76,2022,8
4,3,0,56.96,2,1,4,1,0,2000,0,0,0,3,3,3.99,423.01,5,200018.52,2021,2
13,12,3,160.96,6,3,0,0,0,1985,0,1,1,2,2,6.69,150.47,10,394257.16,2021,5
0,7,0,96.96,3,2,10,1,0,2021,0,0,2,3,3,5.92,219.11,3,268363.17,2022,1
2,12,2,81.86,3,1,0,0,0,1983,1,1,1,2,4,8.54,295.08,9,231413.42,2022,1
13,17,0,111.16,4,3,0,0,3,1970,1,1,1,2,1,5.78,303.1,5,494582.85,2020,8
12,3,0,58.23,2,1,8,1,3,1905,0,0,0,2,2,5.24,156.04,3,253717.34,2022,12
1,7,0,111.3,4,3,2,0,0,1956,0,0,0,4,0,8.12,232.07,3,448652.09,2021,12
0,3,3,135.57,5,3,0,0,2,1970,1,0,1,0,6,5.14,225.08,6,344803.72,2021,8
0,17,0,95.44,4,3,4,1,0,1982,0,0,0,2,7,3.5,19.79,9,280708.37,2021,2
4,3,0,65.34,3,2,5,0,0,1907,0,0,2,3,2,7.75,379.56,5,229276.16,2022,1
4,3,4,59.44,1,0,5,1,4,1970,0,0,0,1,7,6.5,422.08,9,101954.82,2020,12
11,11,4,28.65,1,0,4,1,0,1988,0,0,1,4,3,7.22,331.97,7,58021.04,2021,10
3,3,0,55.2,2,1,3,1,2,1993,1,0,1,4,5,3.65,399.99,4,170687.6,2021,8
6,6,3,196.69,4,2,0,0,4,2019,1,1,2,0,3,4.89,252.94,9,430435.53,2023,5
0,7,2,105.42,6,5,3,0,1,1984,1,0,1,2,4,7.51,409.13,4,247676.47,2021,10
13,11,0,90.82,4,4,5,1,3,1999,1,1,0,2,3,5.25,144.24,9,392818.28,2022,8
10,1,2,162.27,5,4,6,1,0,1904,1,0,1,0,4,8.9,486.82,1,1692230.93,2021,7
14,7,0,96.26,3,3,0,0,1,2017,1,0,0,3,2,6.29,184.29,8,288278.61,2021,8
3,17,3,119.28,7,3,0,0,3,1935,1,1,0,2,2,3.26,252.94,10,271290.32,2022,6
14,17,3,134.99,4,3,0,0,0,1969,0,0,0,1,3,3.3,228.94,9,396047.18,2020,9
2,11,3,185.63,4,2,0,0,0,2018,0,0,0,3,5,2.92,144.92,2,379466.89,2021,1
9,17,2,128.62,6,5,1,0,1,1930,0,0,1,0,2,10.69,252.94,5,576696.54,2021,7
13,17,0,41.4,2,1,2,0,0,1874,1,1,0,1,6,6.28,83.48,10,126139.47,2022,5
13,17,0,53.94,2,3,4,1,3,1946,0,0,0,2,7,6.01,252.94,1,175593.72,2022,7
3,7,3,137.71,5,4,0,0,3,1970,1,0,0,2,1,2.63,170.01,8,221204.86,2021,2
0,11,4,5.0,1,1,2,0,0,1986,1,0,2,2,5,2.39,546.21,9,123222.45,2022,9
12,7,0,63.42,3,1,1,0,0,1944,0,1,1,3,5,2.73,409.68,9,243204.04,2023,3
3,12,4,38.82,1,1,0,0,3,1894,0,0,1,0,4,3.36,240.01,8,87672.53,2020,4
14,7,0,105.5,6,3,6,1,0,2011,0,0,1,1,3,12.68,252.94,1,298971.73,2023,4
3,12,0,62.82,2,1,2,0,3,1884,1,0,0,3,7,1.2,158.69,7,130273.61,2023,1
13,3,4,29.91,1,0,2,0,1,1943,0,1,0,2,2,3.12,114.48,8,107105.9,2023,8
12,3,0,93.44,3,2,3,1,0,1938,1,0,0,2,1,3.87,176.78,5,367300.39,2023,8
6,6,3,119.07,5,4,0,0,2,1866,1,0,1,0,2,3.76,1085.96,8,485918.8,2023,12
8,12,0,70.34,4,3,0,0,0,1926,0,0,1,1,7,3.19,503.41,8,242266.66,2021,6
11,7,0,109.03,4,3,2,0,2,2002,0,0,2,4,4,7.31,198.64,3,289924.12,2022,1
5,4,3,189.17,5,4,0,0,0,1876,1,0,1,0,4,6.7,474.46,3,706344.59,2020,5
4,11,3,189.69,4,3,0,0,0,1866,0,1,0,3,3,3.76,266.95,10,566421.07,2021,1
3,3,0,100.1,4,4,5,1,3,1982,0,0,2,3,2,11.88,395.6,5,254271.63,2022,5
2,3,0,65.06,3,3,5,0,1,1905,0,1,1,3,4,12.41,140.32,1,146237.97,2020,8
1,12,0,57.46,2,0,5,0,3,1957,0,0,0,4,0,2.55,336.98,7,326594.09,2020,10
9,17,3,186.55,6,5,0,0,1,1851,1,0,2,4,2,3.25,640.07,5,813133.2,2020,9
8,17,1,104.24,4,3,3,0,0,1956,0,1,2,1,3,4.02,565.63,5,468945.88,2023,2
11,12,2,102.74,4,3,2,0,3,1949,1,0,1,3,3,6.47,574.43,9,300735.41,2020,2
11,11,0,57.03,3,2,6,1,4,1980,0,0,0,3,4,3.55,252.94,10,97758.88,2022,12
11,17,0,87.89,4,3,1,0,4,1970,0,0,0,1,4,9.51,150.86,7,113718.7,2020,8
11,12,1,111.79,5,4,5,0,2,1987,0,0,1,3,5,3.47,429.35,5,277187.65,2020,3
14,11,3,136.4,6,6,0,0,3,2016,0,0,2,1,6,14.18,882.41,8,300972.17,2022,4
2,11,3,222.21,4,4,0,0,3,1999,1,0,1,0,3,5.7,308.89,9,493858.25,2020,10
2,7,4,27.65,1,0,7,1,0,2016,0,0,1,4,3,5.53,119.59,5,79011.64,2020,11
12,11,0,88.53,4,3,1,0,3,1888,1,1,0,3,3,3.2,1213.3,1,346639.52,2022,4
4,17,3,258.8,4,4,0,0,2,2022,1,0,0,2,5,4.03,368.84,5,728465.07,2022,11
13,17,1,150.38,6,5,1,0,0,1950,1,0,2,1,4,6.09,187.96,5,498810.01,2022,11
11,12,3,250.7,5,3,0,0,3,1943,0,0,0,2,7,5.71,404.66,4,483796.06,2022,1
1,12,0,100.84,4,4,3,1,4,1961,1,0,0,3,4,12.77,225.11,8,250778.68,2022,6
13,11,0,70.43,4,2,1,0,0,1998,1,0,1,3,2,8.17,372.91,5,226290.91,2023,1
2,3,0,60.81,2,0,6,1,1,2018,1,1,0,4,2,8.24,160.45,8,184696.18,2023,12
10,1,4,27.79,1,0,1,0,0,1975,1,0,1,3,0,9.14,72.3,6,228086.26,2023,11
10,9,0,70.81,3,3,2,0,1,1923,0,0,2,2,3,16.18,261.85,6,632939.48,2021,7
1,11,0,110.49,4,2,7,1,0,1935,1,0,0,1,3,9.2,331.24,9,469492.46,2023,1
12,11,1,104.82,7,6,1,0,4,1961,1,0,0,3,4,9.8,225.52,5,194976.6,2023,4
2,3,0,54.06,3,2,7,1,0,1970,1,0,1,2,3,4.41,457.7,2,171457.64,2023,5
1,7,0,81.39,4,3,1,0,0,1970,0,0,1,2,7,7.51,755.93,3,341883.8,2022,12
14,3,0,77.4,3,1,7,1,1,2006,1,0,2,0,7,2.76,775.32,4,308379.69,2022,11
3,12,0,61.56,2,2,2,0,2,1944,0,1,0,0,1,4.55,15000.0,5,171164.16,2020,7
1,17,0,68.32,2,2,1,0,4,1970,0,1,0,3,0,4.9,307.53,4,263556.29,2023,9
6,6,2,173.12,5,4,3,1,3,1968,1,1,2,3,1,10.95,129.77,5,951423.77,2023,1
13,17,2,132.6,4,4,2,0,0,2015,1,0,1,0,7,8.6,703.83,10,535425.32,2023,9
8,11,3,161.53,7,7,0,0,1,1982,1,0,0,4,4,4.52,114.33,5,430598.52,2022,7
7,7,0,61.46,2,1,1,0,1,1970,1,0,0,2,3,5.76,583.23,6,205383.61,2023,5
12,3,3,289.48,6,6,0,0,2,1970,1,1,0,0,0,5.96,59.35,9,1404040.75,2022,6
1,7,0,127.57,4,4,2,0,3,1970,0,0,0,2,1,5.01,645.93,5,580539.27,2021,6
2,3,0,98.74,3,2,5,1,4,1905,0,0,2,2,7,1.74,117.58,5,254096.11,2021,3
9,12,1,111.41,5,3,6,1,1,1968,0,0,0,4,7,2.44,393.33,8,438075.69,2022,10
10,0,0,60.74,3,2,6,1,0,2007,0,0,1,2,7,9.23,100.41,3,591872.18,2023,9
6,19,0,61.3,3,2,5,1,1,2013,1,0,0,2,2,7.49,230.54,3,291677.26,2022,11
4,7,3,164.91,4,2,0,0,2,1974,0,0,1,3,7,12.2,396.59,1,398409.59,2021,9
11,3,3,155.52,4,2,0,0,3,1970,1,0,0,0,3,8.16,313.78,5,360175.96,2022,12
7,11,0,75.93,4,4,0,0,3,1980,1,0,1,2,3,9.4,252.94,7,267363.24,2022,1
0,12,0,74.91,4,3,2,0,1,2001,1,0,1,3,3,3.45,32.41,8,167015.07,2021,12
12,11,0,58.48,3,3,1,0,1,1909,1,0,0,3,1,6.0,19.93,4,194456.59,2022,5
